model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",32,3,0.21099376678466797,0.0,0.21099376678466797,0.7696666644016901,0.0013333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",1,3,0.4189560165007909,0.0,0.4189560165007909,0.7658333288033803,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",2,3,0.4189560165007909,0.0,0.4189560165007909,0.7658333288033803,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",4,3,0.4189560165007909,0.0,0.4189560165007909,0.7658333288033803,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",8,3,0.4251038699100415,0.0,0.4251038699100415,0.7658333288033803,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",16,3,0.4189560165007909,0.0,0.4189560165007909,0.7658333288033803,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",32,3,0.4251038699100415,0.0,0.4251038699100415,0.7658333288033803,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",1,3,0.4231753908097744,0.0,0.4231753908097744,0.6361388892134031,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",2,3,0.4231753908097744,0.0,0.4231753908097744,0.6361388892134031,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",4,3,0.4231753908097744,0.0,0.4231753908097744,0.6361388892134031,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",8,3,0.41963472714026767,0.0,0.41963472714026767,0.6361388892134031,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",16,3,0.4231753908097744,0.0,0.4231753908097744,0.6361388892134031,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",32,3,0.41963472714026767,0.0,0.41963472714026767,0.6361388892134031,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,3,0.28621084730063256,1.0,0.28621084730063256,0.9996673320819757,0.9960079840319361
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",2,3,0.9430984382828077,0.0,0.9430984382828077,0.9997504990614816,0.9970059880239521
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,3,0.9950841764609019,0.0,0.93003282447656,0.9996673320819754,0.9960079840319361
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,3,0.9944829177111387,0.0,0.9145189709961414,0.644627407371641,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",16,3,0.9997404366731644,0.0,0.93003282447656,0.6925316012488629,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",32,3,0.9994927116980156,0.0,0.9145189709961414,0.535013306752115,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,3,0.2799485958336542,1.0,0.2799485958336542,1.0,1.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",2,3,0.941874640683333,0.0,0.941874640683333,0.9994160828886328,0.9929929929929929
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,3,0.9948142642776171,0.0,0.9288786624868711,0.9999165832698047,0.998998998998999
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,3,0.9945658364643654,0.0,0.9290125239640474,0.677093758925542,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,3,0.9997246041893959,0.0,0.9288786624868711,0.6796796757418352,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",32,3,0.9989925927172104,0.0,0.9290125239640474,0.5619786449216746,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",1,3,0.3777470118366182,1.0,0.3777470118366182,1.0,1.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",2,3,0.9329013427098592,0.0,0.9329013427098592,1.0,1.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,3,0.9944753323992094,0.0,0.9181255425016085,1.0,1.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",8,3,0.9939918878177801,0.0,0.931994658584396,0.716966966400156,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",16,3,0.9997763608892759,0.0,0.9181255425016085,0.7423256505896022,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",32,3,0.9993267518778642,0.0,0.931994658584396,0.6614948268364499,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",1,3,0.30273185336651903,1.0,0.30273185336651903,0.9449444518089295,0.4673333333333334
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",2,3,0.9427651638785998,0.0,0.9427651638785998,0.9741111147403716,0.7360000000000001
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",4,3,0.9955393274625143,0.0,0.9289810036619505,0.8891666703224183,0.08800000000000001
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",8,3,0.9944215894987186,0.0,0.9298246279358864,0.842388875802358,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",16,3,0.9997616410255432,0.0,0.9289810036619505,0.7691111047267913,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",32,3,0.999195504312714,0.0,0.9298246279358864,0.723722219745318,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",1,3,0.35056164565806586,1.0,0.35056164565806586,0.8737777816255887,0.16533333333333333
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",2,3,0.9528356492519379,0.0,0.9528356492519379,0.8692222267389297,0.07466666666666667
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",4,3,0.9958382894595464,0.0,0.9406243562698364,0.8180555426279703,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",8,3,0.9954692218452692,0.0,0.9373793372263511,0.82838887099425,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",16,3,0.9997343694170316,0.0,0.9406243562698364,0.7724444371461869,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",32,3,0.9989427303274473,0.0,0.9373793372263511,0.7599444410006205,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",1,3,0.6150372895256927,1.0,0.6150372895256927,0.8155833296577134,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",2,3,0.8001366754372915,0.0,0.8001366754372915,0.8116805531084538,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",4,3,0.9879736055930456,0.0,0.7782564001778761,0.8069999988277754,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",8,3,0.9982066365579764,0.0,0.7545765183555583,0.8202777762860061,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",16,3,0.9995366285244623,0.0,0.7782564001778761,0.8207638870477677,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",32,3,0.999933478112022,0.0,0.7545765183555583,0.7917083312521379,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",1,3,0.5859552727391323,1.0,0.5859552727391323,0.7540694440255562,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",2,3,0.8265325551231703,0.0,0.8265325551231703,0.7538333327944081,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",4,3,0.9918168360988299,0.0,0.8110323150952657,0.7537916661451259,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",8,3,0.9980618221064409,0.0,0.7920132537061969,0.7796944446563722,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",16,3,0.9991060743729273,0.0,0.8110323150952657,0.7890416649977366,0.0
bdh_cq,bdh_cq/attn_residual,9b4bca1a63ee,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",32,3,0.9999082914243141,0.0,0.7920132537061969,0.7742222198645274,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,1,0.7426310256123543,1.0,0.7426310256123543,0.8208955090437362,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,1,0.9996579065918922,0.0,0.9939878508448601,0.8059701350197863,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,1,0.99985196813941,0.0,0.9929473418742418,0.7860696364694567,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",32,1,0.9999208636581898,0.0,0.9929473418742418,0.7624378044213822,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,1,0.7210488691926003,1.0,0.7210488691926003,0.8184079438892763,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,1,0.9996457695960999,0.0,0.9930462390184402,0.8121890407889637,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,1,0.9998192191123962,0.0,0.9933507777750492,0.794776107393094,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",32,1,0.9999201577156782,0.0,0.9933507777750492,0.7587064586913408,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",1,1,0.7173697799444199,1.0,0.7173697799444199,0.8093434229041591,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,1,0.9996889978647232,0.0,0.9942095950245857,0.8118686730211432,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",8,1,0.9998269379138947,0.0,0.9940561018884182,0.7752525124585989,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",32,1,0.9999221973121166,0.0,0.9940561018884182,0.7891414002938704,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",1,1,0.7236957177519798,1.0,0.7236957177519798,0.8074999874830247,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",4,1,0.9995338693261147,0.0,0.9895959794521332,0.814166652560234,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",8,1,0.9998243041336536,0.0,0.992431016638875,0.7908333203196526,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",32,1,0.9999272506684065,0.0,0.992431016638875,0.7866666555404663,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",1,1,0.695480965077877,1.0,0.695480965077877,0.7949999886751175,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",4,1,0.9996845349669456,0.0,0.9941109642386436,0.804166653752327,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",8,1,0.9998403619974852,0.0,0.9932201150804758,0.7974999862909317,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",32,1,0.9999119378626347,0.0,0.9932201150804758,0.8049999874830246,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",1,1,0.8114480599761009,1.0,0.8114480599761009,0.5908333200775087,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",4,1,0.9996864795684814,0.0,0.9966769590973854,0.6024999862350523,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",8,1,0.9999329969286919,0.0,0.9966473020613194,0.6220833190530538,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",32,1,0.9999777358025312,0.0,0.9966473020613194,0.632916650660336,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",1,1,0.8271468132734299,1.0,0.8271468132734299,0.4481250050291419,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",4,1,0.9996728822588921,0.0,0.9967577233910561,0.4414583388343453,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",8,1,0.9999345876276493,0.0,0.9962582569569349,0.44020834006369114,0.0
bdh_cq,bdh_cq/attn_residual,a976f5e26896,attn_residual,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",32,1,0.999978194013238,0.0,0.9962582569569349,0.4304166741669178,0.0
bdh_cq,bdh_cq/init_skip,79d948f95c7e,init_skip,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,3,0.5132166830201944,1.0,0.5132166830201944,0.9997504990614816,0.9970059880239521
bdh_cq,bdh_cq/init_skip,79d948f95c7e,init_skip,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",2,3,0.8939001138011614,0.0,0.8939001138011614,1.0,1.0
bdh_cq,bdh_cq/init_skip,79d948f95c7e,init_skip,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,3,0.8886861974994341,0.0,0.8782099559903145,0.9978376585328412,0.9740518962075848
bdh_cq,bdh_cq/init_skip,79d948f95c7e,init_skip,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,3,0.8599860997249683,0.0,0.7786974950383106,0.6924484325740151,0.0
bdh_cq,bdh_cq/init_skip,79d948f95c7e,init_skip,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",16,3,0.7218050907055537,0.0,0.7199535667896271,0.6962741142558956,0.0
bdh_cq,bdh_cq/init_skip,79d948f95c7e,init_skip,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",32,3,0.8403423267106215,0.0,0.7233386714942753,0.7238855636167432,0.0
bdh_cq,bdh_cq/init_skip,79d948f95c7e,init_skip,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,3,0.4995022440950076,1.0,0.4995022440950076,0.9999165832698047,0.998998998998999
